rate,lower0,upper0,lower1,upper1,lower2,upper2,lower3,upper3,lower4,upper4,lower5,upper5,lower6,upper6,lower7,upper7
0,0,68000,0,94000,0,133000,0,171000,0,210000,0,243000,0,275000,0,308000
0.02042,68000,79000,94000,243000,133000,269000,171000,295000,210000,300000,243000,300000,275000,333000,308000,372000
0.04084,79000,252000,243000,282000,269000,312000,295000,345000,300000,378000,300000,406000,333000,431000,372000,456000
0.06126,252000,300000,282000,338000,312000,369000,345000,398000,378000,424000,406000,450000,431000,476000,456000,502000
0.08168,300000,334000,338000,365000,369000,393000,398000,417000,424000,444000,450000,472000,476000,499000,502000,527000
0.1021,334000,363000,365000,394000,393000,420000,417000,445000,444000,470000,472000,496000,499000,525000,527000,553000
0.12252,363000,395000,394000,422000,420000,450000,445000,477000,470000,504000,496000,531000,525000,559000,553000,588000
0.14294,395000,426000,422000,455000,450000,484000,477000,513000,504000,543000,531000,574000,559000,604000,588000,632000
0.16336,426000,550000,455000,550000,484000,550000,513000,557000,543000,592000,574000,622000,604000,652000,632000,683000
0.18378,550000,668000,550000,689000,550000,710000,557000,730000,592000,751000,622000,771000,652000,792000,683000,812000
0.2042,668000,714000,689000,738000,710000,762000,730000,786000,751000,810000,771000,834000,792000,859000,812000,884000
0.22462,714000,750000,738000,775000,762000,801000,786000,826000,810000,852000,834000,879000,859000,902000,884000,925000
0.24504,750000,791000,775000,817000,801000,844000,826000,872000,852000,898000,879000,922000,902000,947000,925000,971000
0.26546,791000,847000,817000,876000,844000,901000,872000,925000,898000,949000,922000,973000,947000,997000,971000,1021000
0.28588,847000,910000,876000,936000,901000,962000,925000,987000,949000,1013000,973000,1038000,997000,1064000,1021000,1089000
0.3063,910000,997000,936000,1003000,962000,1031000,987000,1058000,1013000,1086000,1038000,1113000,1064000,1140000,1089000,1168000
0.32672,997000,1337000,1003000,1362000,1031000,1386000,1058000,1410000,1086000,1435000,1113000,1459000,1140000,1484000,1168000,1508000
0.35735,1337000,1551000,1362000,1579000,1386000,1607000,1410000,1636000,1435000,1664000,1459000,1692000,1484000,1720000,1508000,1749000
0.38798,1551000,1735000,1579000,1767000,1607000,1799000,1636000,1830000,1664000,1862000,1692000,1894000,1720000,1925000,1749000,1957000
0.4084,1735000,9999999999,1767000,9999999999,1799000,9999999999,1830000,9999999999,1862000,9999999999,1894000,9999999999,1925000,9999999999,1957000,9999999999
